name,price,image,rating,reviews
MIDNIGHT OUD,"PKR 3,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
ZARAR - GIFT SET,"PKR 7,500.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
5 - POUR HOMME,PKR 900.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
RHYTHM FIRE,"PKR 5,700.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
JANAN TOBACCO,"PKR 7,100.00","https://www.junaidjamshed.com/media/catalog/product/j/a/janan_tobacco_1__1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
ROYAL OUD,"PKR 3,000.00","https://www.junaidjamshed.com/media/catalog/product/r/o/royal_oud_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
2 - POUR HOMME,PKR 900.00,"https://www.junaidjamshed.com/media/catalog/product/m/e/men_2_2_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
VELVET MUSK,"PKR 3,000.00","https://www.junaidjamshed.com/media/catalog/product/v/a/valvet_musk_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
ATTAR-E-ZAYAN,"PKR 8,200.00","https://www.junaidjamshed.com/media/catalog/product/z/a/zayan_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
4 - POUR HOMME,PKR 900.00,"https://www.junaidjamshed.com/media/catalog/product/m/e/men_4_1_.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=755&width=589&canvas=589:755",,
KHUMAR RED - 30ml,"PKR 2,400.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
JANAN SPORT - GIFT SET,"PKR 9,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
PURE MUSK,"PKR 2,800.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
3 - POUR HOMME,PKR 900.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
ENDEAVOR - NO GAS POUR HOMME BODY SPRAY,PKR 800.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
ROUGUE - NO GAS POUR HOMME BODY SPRAY,PKR 800.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
PINNACLE - NO GAS POUR HOMME BODY SPRAY,PKR 800.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
ECLIPSE - NO GAS POUR HOMME BODY SPRAY,PKR 800.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
VORTEX - NO GAS POUR HOMME BODY SPRAY,PKR 800.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
EXODUS - NO GAS POUR HOMME BODY SPRAY,PKR 800.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
ENIGMA - NO GAS POUR HOMME BODY SPRAY,PKR 800.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
SILK OUD,"PKR 4,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
ROSE SAFFRON,"PKR 3,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
VELOCITY - NO GAS POUR HOMME BODY SPRAY,PKR 800.00,https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
PURPLE AMBER,"PKR 3,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
JANAN VANILLA,"PKR 7,100.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
SANDAL DREAM,"PKR 4,000.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
BLACK ICE POUR HOMME,"PKR 4,700.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
CHROMATIC ELEGANCE,"PKR 2,900.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
CITRUS OASIS,"PKR 2,900.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
HARMONIC RETREAT,"PKR 2,900.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
SERENE STROKES,"PKR 2,900.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
JANAN SPORT,"PKR 6,600.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
JANAN PLATINUM,"PKR 6,800.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
JANAN GOLD,"PKR 6,600.00",https://www.junaidjamshed.com/static/version1747686471/frontend/Rltsquare/junaidjamshed/en_US/WeltPixel_LazyLoading/images/Loader.gif,,
